job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Administrator, local government",Mara Garret-van Egisheim,F,Marokkaans,Laag,Samenwonend met kinderen,Midden,VMBO,Christelijk,Ongehuwd,Student,Twee-onder-een-kap,Intermediate,37,Gemiddeld,Goed,Gemiddeld,Gemiddeld
Government social research officer,Esmée Van Bragt,F,Indiaas,Laag,Samenwonend,Links,VMBO,Christelijk,Gescheiden,Fulltime,Twee-onder-een-kap,Beginner,30,Laag,Slecht,Gemiddeld,Gemiddeld
IT trainer,Noa van Klaarwater,M,Nederlands,Gemiddeld,Samenwonend,Links,MBO,Atheïstisch,Weduwe/Weduwnaar,Zelfstandig,Appartement,Digibeet,92,Laag,Gemiddeld,Goed,Gemiddeld
Proofreader,Fabiënne Miltenburg-Le Marec,M,Duits,Laag,Samenwonend,Midden,VMBO,Christelijk,Ongehuwd,Parttime,Appartement,Intermediate,74,Laag,Slecht,Slecht,Gemiddeld
Volunteer coordinator,Nadia Westermann,F,Surinaams,Gemiddeld,Samenwonend,Links,MBO,Anders,Weduwe/Weduwnaar,Fulltime,Appartement,Expert,62,Laag,Gemiddeld,Slecht,Goed
"Engineer, communications",Julian Kriens,F,Nederlands,Gemiddeld,Alleenstaand,Midden,MBO,Hindoeïstisch,Ongehuwd,Fulltime,Appartement,Beginner,41,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Agricultural consultant,Matthijs Kallen,F,Chinees,Gemiddeld,Alleenstaand met kinderen,Rechts,HBO,Christelijk,Gehuwd,Fulltime,Twee-onder-een-kap,Beginner,93,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Historic buildings inspector/conservation officer,Zakaria Meijer-van der Steen,F,Nederlands,Gemiddeld,Alleenstaand met kinderen,Midden,VMBO,Islamitisch,Gehuwd,Parttime,Woonboot,Beginner,48,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Furniture designer,Jelle de Hoogh,M,Afghaans,Laag,Samenwonend met kinderen,Midden,VMBO,Hindoeïstisch,Weduwe/Weduwnaar,Parttime,Rijtjeshuis,Intermediate,23,Laag,Gemiddeld,Goed,Goed
"Scientist, biomedical",Evelien Slagmolen,M,Turks,Hoog,Samenwonend,Links,HBO,Islamitisch,Gehuwd,Gepensioneerd,Appartement,Advanced,50,Gemiddeld,Gemiddeld,Slecht,Goed
Private music teacher,Mirte van Arkel,F,Chinees,Laag,Alleenstaand met kinderen,Midden,VWO,Anders,Gehuwd,Parttime,Rijtjeshuis,Beginner,18,Gemiddeld,Gemiddeld,Slecht,Goed
"Scientist, physiological",Olaf Engels,F,Pools,Hoog,Samenwonend,Links,VMBO,Christelijk,Ongehuwd,Zelfstandig,Woonboot,Advanced,69,Laag,Slecht,Gemiddeld,Slecht
Film/video editor,Colin Hendricks,M,Italiaans,Laag,Alleenstaand,Midden,MBO,Islamitisch,Ongehuwd,Fulltime,Appartement,Digibeet,91,Laag,Gemiddeld,Slecht,Gemiddeld
Paramedic,Quinten Groenendaal,F,Surinaams,Gemiddeld,Samenwonend,Midden,HAVO,Hindoeïstisch,Gescheiden,Fulltime,Rijtjeshuis,Expert,60,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
"Engineer, production",Jari van Geenen-Bakker,F,Nederlands,Laag,Alleenstaand met kinderen,Rechts,MBO,Christelijk,Gehuwd,Zelfstandig,Appartement,Beginner,95,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
Sales promotion account executive,Charlotte Peeters,F,Nederlands,Laag,Samenwonend met kinderen,Midden,VWO,Christelijk,Ongehuwd,Fulltime,Vrijstaand,Advanced,52,Laag,Goed,Slecht,Goed
Barrister's clerk,Joshua Vrancken,M,Indonesisch,Laag,Samenwonend met kinderen,Midden,HBO,Christelijk,Gehuwd,Fulltime,Appartement,Intermediate,89,Laag,Gemiddeld,Gemiddeld,Gemiddeld
