job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Podiatrist,Joost van Haspengouw Hesbaye-Potters,M,Turks,Hoog,Alleenstaand met kinderen,Links,MBO,Islamitisch,Ongehuwd,Parttime,Woonboot,Intermediate,60,Laag,Gemiddeld,Gemiddeld,Gemiddeld
"Horticulturist, amenity",Amélie van Beeck Beeckmans-Tirie,F,Antilliaans,Hoog,Samenwonend met kinderen,Links,VMBO,Christelijk,Gescheiden,Zelfstandig,Appartement,Expert,60,Laag,Gemiddeld,Goed,Slecht
Landscape architect,Giovanni van den Oever-Neuteboom,M,Nederlands,Hoog,Samenwonend,Rechts,HBO,Islamitisch,Ongehuwd,Student,Appartement,Beginner,87,Laag,Slecht,Goed,Slecht
Social worker,Max Brandon-de Leeuw,F,Turks,Gemiddeld,Samenwonend,Links,VWO,Christelijk,Ongehuwd,Parttime,Rijtjeshuis,Digibeet,94,Laag,Goed,Gemiddeld,Goed
Airline pilot,Aiden Nek,F,Indonesisch,Laag,Alleenstaand met kinderen,Midden,VMBO,Christelijk,Ongehuwd,Gepensioneerd,Studio,Beginner,22,Gemiddeld,Goed,Goed,Gemiddeld
Chief Financial Officer,Carlijn Speijer-Jonker,M,Nederlands,Laag,Alleenstaand met kinderen,Links,MBO,Christelijk,Gescheiden,Fulltime,Rijtjeshuis,Advanced,89,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
Audiological scientist,Annemijn Draaisma,F,Nederlands,Laag,Samenwonend met kinderen,Rechts,HAVO,Anders,Weduwe/Weduwnaar,Werkloos,Rijtjeshuis,Beginner,95,Laag,Slecht,Gemiddeld,Slecht
Television/film/video producer,Sebastiaan Lommert,F,Nederlands,Laag,Alleenstaand,Midden,MBO,Islamitisch,Ongehuwd,Gepensioneerd,Appartement,Beginner,44,Laag,Gemiddeld,Goed,Goed
Education administrator,Maurits van der Leek-Phillipsen,F,Nederlands,Laag,Samenwonend,Rechts,WO,Islamitisch,Ongehuwd,Student,Rijtjeshuis,Expert,93,Gemiddeld,Gemiddeld,Slecht,Slecht
Heritage manager,Mick Kuijpers,F,Antilliaans,Gemiddeld,Samenwonend met kinderen,Links,MBO,Islamitisch,Ongehuwd,Student,Appartement,Digibeet,47,Gemiddeld,Slecht,Goed,Gemiddeld
