job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Scientist, biomedical",Luuk van Dijk-Mosley,F,Antilliaans,Gemiddeld,Samenwonend,Midden,WO,Hindoeïstisch,Gehuwd,Fulltime,Rijtjeshuis,Advanced,66,Gemiddeld,Goed,Slecht,Goed
Accommodation manager,Sara Eelman,M,Nederlands,Laag,Alleenstaand,Links,Basisonderwijs,Christelijk,Ongehuwd,Gepensioneerd,Twee-onder-een-kap,Advanced,99,Gemiddeld,Slecht,Gemiddeld,Gemiddeld
Leisure centre manager,Yasmine Dries,M,Turks,Hoog,Alleenstaand,Midden,MBO,Boeddhistisch,Weduwe/Weduwnaar,Fulltime,Appartement,Advanced,99,Laag,Goed,Goed,Gemiddeld
Energy manager,Lauren van den Nuwenhijsen,M,Syrisch,Laag,Alleenstaand met kinderen,Midden,VMBO,Atheïstisch,Ongehuwd,Parttime,Rijtjeshuis,Intermediate,74,Laag,Goed,Gemiddeld,Slecht
Youth worker,Ninthe Bosch,F,Eritrees,Gemiddeld,Samenwonend met kinderen,Rechts,WO,Christelijk,Gescheiden,Zelfstandig,Rijtjeshuis,Advanced,39,Laag,Gemiddeld,Gemiddeld,Goed
Estate agent,Ali van Laar,M,Spaans,Hoog,Alleenstaand met kinderen,Midden,VMBO,Joods,Gehuwd,Student,Appartement,Expert,87,Laag,Gemiddeld,Gemiddeld,Slecht
Technical brewer,Lisa van den Nieuwenhuijsen,F,Turks,Laag,Samenwonend met kinderen,Links,MBO,Christelijk,Gehuwd,Student,Appartement,Intermediate,59,Laag,Gemiddeld,Goed,Slecht
Metallurgist,Nikki Hoeks-de Kale,F,Pools,Hoog,Alleenstaand,Rechts,WO,Christelijk,Gehuwd,Fulltime,Woonboot,Advanced,65,Gemiddeld,Gemiddeld,Slecht,Goed
Company secretary,Valerie Visser,M,Surinaams,Laag,Samenwonend,Midden,MBO,Hindoeïstisch,Gehuwd,Zelfstandig,Twee-onder-een-kap,Intermediate,93,Gemiddeld,Gemiddeld,Gemiddeld,Goed
Chemical engineer,Féline Scardino-Slagmolen,F,Indonesisch,Hoog,Samenwonend met kinderen,Links,MBO,Anders,Gehuwd,Student,Vrijstaand,Intermediate,23,Hoog,Gemiddeld,Slecht,Goed
Comptroller,Lize Ridder,F,Nederlands,Gemiddeld,Samenwonend met kinderen,Links,MBO,Christelijk,Ongehuwd,Parttime,Rijtjeshuis,Advanced,49,Hoog,Goed,Gemiddeld,Slecht
Actuary,Suze le Floch,M,Surinaams,Laag,Samenwonend,Links,Basisonderwijs,Islamitisch,Ongehuwd,Werkloos,Rijtjeshuis,Intermediate,61,Laag,Gemiddeld,Goed,Slecht
Bonds trader,Ayden Blees,M,Duits,Gemiddeld,Samenwonend,Midden,MBO,Islamitisch,Ongehuwd,Zelfstandig,Rijtjeshuis,Intermediate,74,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
"Scientist, physiological",Bo Meeusen-Charon,M,Nederlands,Laag,Samenwonend,Links,VWO,Anders,Ongehuwd,Werkloos,Rijtjeshuis,Intermediate,66,Laag,Goed,Gemiddeld,Gemiddeld
