job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Teacher, English as a foreign language",Muhammed van de Coterlet,F,Antilliaans,Laag,Samenwonend met kinderen,Midden,VMBO,Christelijk,Ongehuwd,Parttime,Rijtjeshuis,Beginner,84,Laag,Gemiddeld,Gemiddeld,Goed
Commissioning editor,Sienna Honing,F,Nederlands,Laag,Samenwonend met kinderen,Midden,HAVO,Christelijk,Gescheiden,Fulltime,Rijtjeshuis,Digibeet,90,Laag,Goed,Goed,Gemiddeld
"Scientist, water quality",Muhammed Doyle-de Smit,F,Somalisch,Laag,Samenwonend met kinderen,Rechts,VMBO,Atheïstisch,Gescheiden,Student,Twee-onder-een-kap,Advanced,80,Gemiddeld,Goed,Gemiddeld,Slecht
Psychiatric nurse,Thomas van Wijk-van der Pol,M,Nederlands,Laag,Alleenstaand,Rechts,HBO,Islamitisch,Gescheiden,Werkloos,Rijtjeshuis,Beginner,67,Hoog,Slecht,Gemiddeld,Gemiddeld
"Education officer, community",Amy Geneart,F,Afghaans,Laag,Samenwonend,Rechts,HAVO,Christelijk,Gehuwd,Fulltime,Vrijstaand,Intermediate,40,Laag,Slecht,Goed,Gemiddeld
Accommodation manager,Selena Weijland,F,Marokkaans,Laag,Alleenstaand,Midden,HAVO,Christelijk,Gehuwd,Fulltime,Woonboot,Beginner,43,Hoog,Slecht,Gemiddeld,Gemiddeld
Print production planner,Oscar van Kuijc,M,Surinaams,Laag,Alleenstaand,Rechts,MBO,Atheïstisch,Gehuwd,Werkloos,Twee-onder-een-kap,Intermediate,22,Hoog,Gemiddeld,Gemiddeld,Goed
Horticultural therapist,Jelle Houdijk,F,Irakees,Hoog,Samenwonend,Links,MBO,Christelijk,Ongehuwd,Student,Rijtjeshuis,Intermediate,29,Gemiddeld,Goed,Slecht,Slecht
Estate manager/land agent,Riley Pison,M,Pools,Laag,Alleenstaand,Links,Basisonderwijs,Atheïstisch,Ongehuwd,Gepensioneerd,Rijtjeshuis,Intermediate,73,Gemiddeld,Gemiddeld,Goed,Gemiddeld
"Engineer, civil (consulting)",Evelien Jones,F,Spaans,Hoog,Alleenstaand,Midden,VMBO,Anders,Ongehuwd,Zelfstandig,Appartement,Beginner,93,Gemiddeld,Goed,Gemiddeld,Goed
"Librarian, academic",Alyssa den Teuling,M,Nederlands,Laag,Alleenstaand,Midden,VMBO,Islamitisch,Ongehuwd,Werkloos,Rijtjeshuis,Digibeet,50,Hoog,Slecht,Gemiddeld,Goed
Chemical engineer,Noud van Haeften,M,Eritrees,Laag,Samenwonend,Midden,WO,Christelijk,Gescheiden,Zelfstandig,Rijtjeshuis,Beginner,99,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Clinical biochemist,Hamza van der Stael de Jonge,M,Pools,Gemiddeld,Samenwonend,Midden,MBO,Christelijk,Gehuwd,Gepensioneerd,Appartement,Intermediate,22,Laag,Gemiddeld,Gemiddeld,Slecht
Interior and spatial designer,Linn Jansse,F,Chinees,Laag,Samenwonend,Links,VMBO,Christelijk,Gehuwd,Student,Appartement,Intermediate,62,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
"Restaurant manager, fast food",Mohammed Dekker,F,Nederlands,Hoog,Samenwonend met kinderen,Links,MBO,Christelijk,Ongehuwd,Werkloos,Appartement,Beginner,73,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Hospital pharmacist,Thom Stoffelsz,M,Nederlands,Gemiddeld,Alleenstaand met kinderen,Rechts,HAVO,Anders,Gehuwd,Parttime,Appartement,Advanced,68,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Insurance account manager,Matthijs Manne-de Gratie,M,Nederlands,Laag,Samenwonend,Midden,HBO,Atheïstisch,Gehuwd,Fulltime,Rijtjeshuis,Digibeet,18,Laag,Slecht,Goed,Goed
"Therapist, art",Emir Govarts-Huijzing,F,Marokkaans,Laag,Samenwonend,Rechts,MBO,Christelijk,Ongehuwd,Fulltime,Vrijstaand,Expert,68,Laag,Slecht,Gemiddeld,Slecht
Theme park manager,Jill Salet,F,Nederlands,Gemiddeld,Alleenstaand met kinderen,Midden,HBO,Islamitisch,Gehuwd,Parttime,Rijtjeshuis,Beginner,21,Hoog,Gemiddeld,Slecht,Gemiddeld
Dentist,Sofie Wilson,F,Turks,Hoog,Samenwonend,Midden,MBO,Anders,Gescheiden,Zelfstandig,Rijtjeshuis,Intermediate,71,Hoog,Goed,Goed,Gemiddeld
