job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Geneticist, molecular",Laura Bouhuizen,M,Antilliaans,Laag,Samenwonend,Rechts,MBO,Atheïstisch,Gehuwd,Fulltime,Rijtjeshuis,Advanced,25,Laag,Gemiddeld,Goed,Gemiddeld
Field trials officer,Feline van der Veen-Matthews,M,Surinaams,Laag,Samenwonend,Midden,WO,Christelijk,Gehuwd,Werkloos,Rijtjeshuis,Intermediate,47,Gemiddeld,Gemiddeld,Goed,Goed
Maintenance engineer,Bram Thomas,M,Surinaams,Hoog,Alleenstaand met kinderen,Midden,VWO,Anders,Gehuwd,Gepensioneerd,Rijtjeshuis,Beginner,21,Hoog,Slecht,Gemiddeld,Goed
Technical sales engineer,Ashley van Gils,M,Chinees,Gemiddeld,Samenwonend,Rechts,VMBO,Atheïstisch,Ongehuwd,Fulltime,Twee-onder-een-kap,Beginner,76,Laag,Gemiddeld,Gemiddeld,Goed
Clinical psychologist,Lenn van Embden-Pierson,F,Indiaas,Gemiddeld,Alleenstaand,Links,VWO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,70,Laag,Slecht,Gemiddeld,Slecht
"Chemist, analytical",Keano van de Brink-Mol,F,Eritrees,Laag,Alleenstaand,Links,HBO,Atheïstisch,Gehuwd,Fulltime,Twee-onder-een-kap,Beginner,19,Laag,Gemiddeld,Gemiddeld,Goed
Corporate investment banker,Valerie van Voorst,M,Surinaams,Laag,Samenwonend met kinderen,Rechts,HBO,Atheïstisch,Gehuwd,Gepensioneerd,Rijtjeshuis,Intermediate,77,Hoog,Gemiddeld,Slecht,Slecht
Chemical engineer,Kiki van der Pouw-Wensen,M,Roemeens,Gemiddeld,Samenwonend met kinderen,Rechts,MBO,Joods,Gescheiden,Parttime,Appartement,Beginner,93,Laag,Gemiddeld,Goed,Gemiddeld
Commissioning editor,Giel Dirven-van Ochten,F,Surinaams,Hoog,Samenwonend,Midden,MBO,Hindoeïstisch,Ongehuwd,Fulltime,Appartement,Beginner,32,Hoog,Slecht,Gemiddeld,Goed
"Surveyor, planning and development",Nova van Luxemburg,M,Surinaams,Hoog,Samenwonend,Midden,VMBO,Christelijk,Gehuwd,Fulltime,Rijtjeshuis,Advanced,31,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Graphic designer,Merel Billung,F,Afghaans,Laag,Samenwonend,Rechts,MBO,Boeddhistisch,Weduwe/Weduwnaar,Student,Twee-onder-een-kap,Advanced,29,Hoog,Gemiddeld,Slecht,Gemiddeld
Broadcast journalist,Julius Gellemeyer-Schrik,M,Nederlands,Hoog,Alleenstaand met kinderen,Midden,VMBO,Islamitisch,Gescheiden,Fulltime,Appartement,Intermediate,87,Gemiddeld,Slecht,Gemiddeld,Slecht
"Surveyor, planning and development",Norah Govarts,M,Nederlands,Laag,Samenwonend met kinderen,Links,VMBO,Islamitisch,Ongehuwd,Parttime,Rijtjeshuis,Intermediate,24,Laag,Gemiddeld,Slecht,Gemiddeld
"Designer, furniture",Joey van Suinvorde,F,Somalisch,Laag,Samenwonend met kinderen,Links,MBO,Boeddhistisch,Ongehuwd,Werkloos,Appartement,Intermediate,22,Hoog,Gemiddeld,Slecht,Gemiddeld
Surgeon,Mike Riem,F,Irakees,Gemiddeld,Samenwonend,Midden,HAVO,Atheïstisch,Ongehuwd,Student,Twee-onder-een-kap,Digibeet,76,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Ceramics designer,Daniël Recers,M,Irakees,Laag,Alleenstaand,Links,MBO,Christelijk,Gehuwd,Zelfstandig,Twee-onder-een-kap,Advanced,84,Gemiddeld,Goed,Goed,Slecht
