job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Manufacturing engineer,Laura Kolen,M,Nederlands,Laag,Samenwonend met kinderen,Rechts,MBO,Islamitisch,Gescheiden,Fulltime,Rijtjeshuis,Beginner,46,Hoog,Goed,Goed,Gemiddeld
Barista,Fabian de Lange,F,Turks,Hoog,Samenwonend met kinderen,Links,Basisonderwijs,Christelijk,Ongehuwd,Parttime,Rijtjeshuis,Advanced,31,Hoog,Goed,Gemiddeld,Gemiddeld
"Designer, furniture",Bastiaan van Jumiège,M,Surinaams,Gemiddeld,Samenwonend,Rechts,HAVO,Christelijk,Weduwe/Weduwnaar,Student,Appartement,Expert,84,Hoog,Slecht,Goed,Goed
Ergonomist,Justin Bosch,F,Turks,Hoog,Alleenstaand met kinderen,Rechts,VMBO,Hindoeïstisch,Ongehuwd,Parttime,Appartement,Digibeet,81,Laag,Gemiddeld,Gemiddeld,Slecht
Animal nutritionist,Zoë Kronenberg,M,Turks,Laag,Samenwonend met kinderen,Midden,HAVO,Christelijk,Gehuwd,Student,Vrijstaand,Intermediate,38,Gemiddeld,Gemiddeld,Gemiddeld,Goed
Tourist information centre manager,Imke Haack,M,Marokkaans,Gemiddeld,Alleenstaand,Midden,MBO,Joods,Ongehuwd,Fulltime,Studio,Intermediate,92,Hoog,Goed,Gemiddeld,Goed
Geographical information systems officer,Sara van Opper-Lotharingen-van Gelder,F,Chinees,Hoog,Samenwonend,Links,MBO,Atheïstisch,Ongehuwd,Gepensioneerd,Studio,Intermediate,56,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
Office manager,Isabella Hazenveld,F,Surinaams,Laag,Samenwonend met kinderen,Rechts,VMBO,Islamitisch,Ongehuwd,Fulltime,Appartement,Beginner,74,Laag,Gemiddeld,Gemiddeld,Slecht
Government social research officer,Kian Schulten,M,Indonesisch,Laag,Samenwonend,Links,MBO,Islamitisch,Gehuwd,Fulltime,Appartement,Beginner,86,Gemiddeld,Slecht,Slecht,Gemiddeld
Health promotion specialist,Florian Chevresson,F,Nederlands,Gemiddeld,Alleenstaand met kinderen,Rechts,MBO,Joods,Weduwe/Weduwnaar,Student,Rijtjeshuis,Intermediate,99,Laag,Gemiddeld,Gemiddeld,Gemiddeld
