job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Pensions consultant,Michelle Everde-van Dommelen,M,Indiaas,Hoog,Alleenstaand,Midden,HAVO,Boeddhistisch,Gescheiden,Werkloos,Appartement,Digibeet,74,Gemiddeld,Slecht,Gemiddeld,Slecht
Brewing technologist,Hailey Verda,F,Portugees,Laag,Alleenstaand,Midden,WO,Islamitisch,Gehuwd,Parttime,Appartement,Beginner,99,Hoog,Goed,Gemiddeld,Goed
"Psychologist, forensic",Evelien Lafleur-van den Nyeuwenhuysen,F,Bulgaars,Laag,Samenwonend,Rechts,VMBO,Christelijk,Gehuwd,Werkloos,Twee-onder-een-kap,Beginner,37,Hoog,Gemiddeld,Gemiddeld,Goed
Higher education lecturer,Sander Marchal,M,Nederlands,Laag,Samenwonend met kinderen,Links,HBO,Christelijk,Gescheiden,Gepensioneerd,Appartement,Intermediate,41,Laag,Gemiddeld,Slecht,Goed
Communications engineer,Aaliyah Mercks-Manne,M,Italiaans,Gemiddeld,Samenwonend met kinderen,Rechts,VMBO,Islamitisch,Ongehuwd,Student,Rijtjeshuis,Expert,99,Laag,Goed,Goed,Gemiddeld
Best boy,Esther van Geenen,M,Duits,Laag,Samenwonend met kinderen,Rechts,HBO,Anders,Ongehuwd,Fulltime,Woonboot,Beginner,39,Hoog,Gemiddeld,Slecht,Goed
"Designer, television/film set",Sem Huurdeman,M,Turks,Gemiddeld,Samenwonend,Rechts,MBO,Anders,Ongehuwd,Fulltime,Rijtjeshuis,Digibeet,82,Laag,Gemiddeld,Goed,Slecht
"Scientist, physiological",Luna de Jong,F,Nederlands,Hoog,Alleenstaand,Rechts,VMBO,Islamitisch,Gehuwd,Parttime,Rijtjeshuis,Advanced,71,Laag,Gemiddeld,Goed,Goed
Charity officer,Ayden Veltman-de Vries,F,Nederlands,Hoog,Samenwonend,Midden,MBO,Anders,Gescheiden,Fulltime,Appartement,Intermediate,73,Laag,Gemiddeld,Slecht,Gemiddeld
Ranger/warden,Imke Zwijsen,M,Irakees,Laag,Alleenstaand,Links,HBO,Anders,Gehuwd,Werkloos,Appartement,Advanced,65,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Acupuncturist,Quinty van de Eerenbeemt,F,Duits,Hoog,Samenwonend,Rechts,MBO,Islamitisch,Ongehuwd,Parttime,Rijtjeshuis,Digibeet,63,Gemiddeld,Goed,Slecht,Gemiddeld
Arts administrator,Pleun van Susa,M,Nederlands,Laag,Alleenstaand,Rechts,WO,Joods,Ongehuwd,Student,Vrijstaand,Beginner,68,Laag,Goed,Gemiddeld,Gemiddeld
Airline pilot,Alex Slagmolen-de Marduras,F,Surinaams,Laag,Samenwonend,Midden,WO,Christelijk,Ongehuwd,Parttime,Rijtjeshuis,Beginner,77,Laag,Gemiddeld,Gemiddeld,Goed
Careers adviser,Micha Vertooren-Schakelaar,M,Nederlands,Laag,Samenwonend met kinderen,Links,MBO,Christelijk,Ongehuwd,Zelfstandig,Vrijstaand,Intermediate,39,Laag,Gemiddeld,Gemiddeld,Goed
"Engineer, civil (consulting)",Stella van Drenthe,F,Bulgaars,Gemiddeld,Samenwonend,Midden,WO,Islamitisch,Gescheiden,Fulltime,Twee-onder-een-kap,Intermediate,35,Gemiddeld,Slecht,Slecht,Gemiddeld
