job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Television camera operator,Jolie Bertho,M,Spaans,Laag,Alleenstaand met kinderen,Links,WO,Christelijk,Gescheiden,Fulltime,Appartement,Digibeet,42,Gemiddeld,Goed,Goed,Slecht
"Development worker, international aid",Maud Willems,M,Nederlands,Gemiddeld,Alleenstaand,Midden,MBO,Islamitisch,Gescheiden,Fulltime,Rijtjeshuis,Intermediate,84,Laag,Gemiddeld,Goed,Gemiddeld
Tour manager,Jordy de Haas,F,Irakees,Laag,Samenwonend met kinderen,Midden,HAVO,Hindoeïstisch,Weduwe/Weduwnaar,Fulltime,Appartement,Advanced,31,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
"Nurse, children's",Ivy Phillipsen,F,Bulgaars,Gemiddeld,Alleenstaand met kinderen,Rechts,Basisonderwijs,Atheïstisch,Gehuwd,Parttime,Appartement,Intermediate,18,Hoog,Slecht,Gemiddeld,Gemiddeld
Broadcast presenter,Quinten van den Corput,M,Duits,Laag,Samenwonend met kinderen,Rechts,WO,Joods,Gehuwd,Parttime,Studio,Advanced,78,Laag,Gemiddeld,Goed,Slecht
Warehouse manager,Thijn van der Stael,M,Afghaans,Laag,Alleenstaand,Rechts,VWO,Christelijk,Ongehuwd,Werkloos,Rijtjeshuis,Beginner,47,Laag,Slecht,Gemiddeld,Goed
Warehouse manager,Silke Vastenhouw,M,Duits,Hoog,Alleenstaand met kinderen,Midden,VMBO,Christelijk,Ongehuwd,Fulltime,Studio,Beginner,21,Gemiddeld,Goed,Slecht,Gemiddeld
Chiropractor,Esmee Leene-van Dagsburg,F,Marokkaans,Laag,Samenwonend,Rechts,VMBO,Hindoeïstisch,Gescheiden,Fulltime,Appartement,Advanced,93,Laag,Goed,Goed,Slecht
"Scientist, research (physical sciences)",Jake Dirven-Backer,F,Pools,Gemiddeld,Alleenstaand,Links,HAVO,Christelijk,Ongehuwd,Werkloos,Vrijstaand,Beginner,70,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
Naval architect,Stijn van Oudewater,F,Chinees,Laag,Samenwonend,Rechts,VWO,Islamitisch,Gescheiden,Parttime,Woonboot,Beginner,36,Gemiddeld,Goed,Slecht,Gemiddeld
