job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Audiological scientist,Esmée van Riet,M,Nederlands,Laag,Alleenstaand met kinderen,Rechts,HBO,Islamitisch,Ongehuwd,Parttime,Appartement,Expert,65,Hoog,Goed,Goed,Gemiddeld
"Engineer, automotive",Vigo Potters,F,Nederlands,Gemiddeld,Alleenstaand,Rechts,HAVO,Islamitisch,Gehuwd,Parttime,Rijtjeshuis,Intermediate,24,Laag,Gemiddeld,Goed,Gemiddeld
Advice worker,Victoria Kok,M,Nederlands,Hoog,Samenwonend met kinderen,Rechts,VMBO,Atheïstisch,Ongehuwd,Fulltime,Twee-onder-een-kap,Intermediate,49,Gemiddeld,Gemiddeld,Gemiddeld,Slecht
Chartered accountant,Sil Heymans,M,Nederlands,Gemiddeld,Samenwonend,Midden,MBO,Atheïstisch,Gehuwd,Parttime,Appartement,Intermediate,84,Laag,Slecht,Gemiddeld,Slecht
Professor Emeritus,Linde van den Nuwenhuysen,F,Chinees,Gemiddeld,Samenwonend met kinderen,Midden,HBO,Christelijk,Ongehuwd,Fulltime,Appartement,Advanced,39,Gemiddeld,Goed,Slecht,Goed
"Engineer, electronics",Quinty Rousselet-Speijer,M,Marokkaans,Hoog,Alleenstaand,Links,MBO,Anders,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,71,Laag,Gemiddeld,Gemiddeld,Slecht
Legal secretary,Vince Olykan-Wolfswinkel,M,Nederlands,Gemiddeld,Alleenstaand,Rechts,HAVO,Hindoeïstisch,Ongehuwd,Fulltime,Appartement,Intermediate,22,Laag,Goed,Gemiddeld,Gemiddeld
Ranger/warden,Dean Wendt,M,Nederlands,Hoog,Samenwonend,Links,VWO,Boeddhistisch,Gehuwd,Werkloos,Rijtjeshuis,Beginner,57,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Geoscientist,Esila Riem-Salet,M,Eritrees,Laag,Alleenstaand,Midden,MBO,Christelijk,Ongehuwd,Parttime,Appartement,Advanced,39,Laag,Slecht,Gemiddeld,Slecht
Landscape architect,Casper Pieters van der Maes,F,Nederlands,Hoog,Alleenstaand met kinderen,Midden,HAVO,Anders,Gehuwd,Fulltime,Appartement,Expert,93,Laag,Gemiddeld,Slecht,Slecht
Insurance account manager,"Gijs Werl-Arnsberg, van",M,Chinees,Gemiddeld,Alleenstaand,Links,MBO,Islamitisch,Ongehuwd,Zelfstandig,Rijtjeshuis,Beginner,95,Gemiddeld,Gemiddeld,Gemiddeld,Slecht
"Education officer, community",Amber de Groot,F,Nederlands,Gemiddeld,Samenwonend,Midden,Basisonderwijs,Christelijk,Gehuwd,Zelfstandig,Rijtjeshuis,Advanced,63,Laag,Gemiddeld,Goed,Goed
Production manager,Jennifer Beourgeois,M,Nederlands,Laag,Samenwonend,Links,HBO,Islamitisch,Gescheiden,Zelfstandig,Rijtjeshuis,Beginner,81,Gemiddeld,Gemiddeld,Gemiddeld,Goed
Television floor manager,Fien Olthof,M,Surinaams,Gemiddeld,Samenwonend met kinderen,Midden,MBO,Christelijk,Gehuwd,Zelfstandig,Vrijstaand,Beginner,74,Hoog,Goed,Gemiddeld,Gemiddeld
Immigration officer,Jesper van Grondelle,M,Marokkaans,Laag,Samenwonend met kinderen,Links,VWO,Christelijk,Ongehuwd,Werkloos,Studio,Advanced,35,Gemiddeld,Gemiddeld,Goed,Goed
Podiatrist,Lynn Zijlemans,F,Marokkaans,Hoog,Alleenstaand,Rechts,WO,Boeddhistisch,Gescheiden,Fulltime,Appartement,Beginner,72,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Clinical cytogeneticist,Teun Shupe,M,Spaans,Hoog,Samenwonend met kinderen,Midden,HBO,Atheïstisch,Ongehuwd,Fulltime,Appartement,Advanced,61,Laag,Slecht,Slecht,Gemiddeld
Pensions consultant,Lenn de Vos-Brugman,M,Nederlands,Laag,Samenwonend met kinderen,Links,HBO,Christelijk,Ongehuwd,Parttime,Appartement,Intermediate,52,Laag,Slecht,Slecht,Slecht
Radiation protection practitioner,Alicia van der Horst,M,Nederlands,Laag,Samenwonend,Midden,WO,Atheïstisch,Gehuwd,Zelfstandig,Appartement,Advanced,49,Hoog,Goed,Goed,Gemiddeld
