job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Secondary school teacher,Justin Bave,M,Nederlands,Laag,Alleenstaand met kinderen,Midden,MBO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,52,Laag,Gemiddeld,Gemiddeld,Slecht
Merchant navy officer,Féline Kuiper-Zevenboom,M,Chinees,Gemiddeld,Alleenstaand,Midden,MBO,Joods,Ongehuwd,Zelfstandig,Rijtjeshuis,Expert,85,Gemiddeld,Goed,Gemiddeld,Gemiddeld
Product manager,Kyano van Voorhout,F,Surinaams,Laag,Samenwonend,Links,MBO,Anders,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,98,Hoog,Gemiddeld,Goed,Gemiddeld
Set designer,Joey van Kuijc,F,Syrisch,Laag,Samenwonend met kinderen,Rechts,VMBO,Christelijk,Ongehuwd,Werkloos,Appartement,Intermediate,98,Laag,Goed,Slecht,Gemiddeld
"Buyer, retail",Milo Breugelensis,F,Nederlands,Laag,Alleenstaand met kinderen,Midden,VMBO,Hindoeïstisch,Gehuwd,Werkloos,Twee-onder-een-kap,Advanced,53,Gemiddeld,Gemiddeld,Gemiddeld,Goed
Geographical information systems officer,Noah van den Broek,F,Nederlands,Laag,Alleenstaand,Links,VMBO,Christelijk,Gehuwd,Werkloos,Rijtjeshuis,Beginner,27,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
Camera operator,Marijn Aarts,F,Syrisch,Gemiddeld,Alleenstaand met kinderen,Rechts,Basisonderwijs,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Digibeet,29,Laag,Goed,Gemiddeld,Gemiddeld
Sports therapist,Noud van de Eerenbeemt,M,Nederlands,Gemiddeld,Alleenstaand met kinderen,Links,HAVO,Joods,Ongehuwd,Gepensioneerd,Vrijstaand,Digibeet,78,Gemiddeld,Slecht,Goed,Gemiddeld
Teaching laboratory technician,Linn van Straaten,M,Nederlands,Laag,Samenwonend met kinderen,Rechts,HAVO,Christelijk,Ongehuwd,Student,Rijtjeshuis,Digibeet,24,Gemiddeld,Gemiddeld,Goed,Gemiddeld
Art therapist,Joost Rubben,F,Nederlands,Gemiddeld,Alleenstaand,Midden,HAVO,Atheïstisch,Ongehuwd,Zelfstandig,Woonboot,Intermediate,57,Hoog,Slecht,Gemiddeld,Gemiddeld
