job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Embryologist, clinical",Silke Maas,M,Chinees,Laag,Samenwonend met kinderen,Midden,VMBO,Islamitisch,Gescheiden,Fulltime,Rijtjeshuis,Beginner,92,Laag,Slecht,Slecht,Gemiddeld
"Designer, blown glass/stained glass",Lois van Jumiège,M,Nederlands,Laag,Samenwonend,Midden,HAVO,Hindoeïstisch,Gescheiden,Fulltime,Appartement,Expert,21,Laag,Slecht,Goed,Gemiddeld
Medical technical officer,Jaylinn van den Nieuwenhuijsen-Lamore,M,Nederlands,Laag,Samenwonend met kinderen,Rechts,Basisonderwijs,Christelijk,Weduwe/Weduwnaar,Parttime,Rijtjeshuis,Digibeet,97,Laag,Goed,Gemiddeld,Gemiddeld
Phytotherapist,Floor Weeldenburg-van Rossum,F,Indiaas,Laag,Samenwonend,Rechts,Basisonderwijs,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,77,Hoog,Goed,Gemiddeld,Goed
Publishing copy,Eliza Groote,M,Italiaans,Laag,Alleenstaand met kinderen,Midden,MBO,Joods,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,85,Hoog,Slecht,Gemiddeld,Gemiddeld
Artist,Marijn Mansveld,F,Nederlands,Gemiddeld,Samenwonend met kinderen,Links,HAVO,Anders,Ongehuwd,Student,Vrijstaand,Advanced,24,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Homeopath,Lucy Bastiaense,F,Surinaams,Laag,Alleenstaand met kinderen,Links,VWO,Atheïstisch,Gehuwd,Fulltime,Rijtjeshuis,Beginner,65,Gemiddeld,Goed,Goed,Gemiddeld
Equality and diversity officer,Lynn Groen-Bouwhuisen,M,Nederlands,Hoog,Alleenstaand,Links,Basisonderwijs,Christelijk,Gehuwd,Zelfstandig,Vrijstaand,Expert,28,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Customer service manager,Twan Ariens Ansems-van den Pol,F,Nederlands,Laag,Samenwonend,Rechts,HAVO,Islamitisch,Ongehuwd,Gepensioneerd,Rijtjeshuis,Advanced,28,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Water engineer,Carlijn van Ochten-Appelman,F,Nederlands,Hoog,Samenwonend met kinderen,Rechts,HAVO,Atheïstisch,Gehuwd,Student,Vrijstaand,Advanced,56,Laag,Gemiddeld,Gemiddeld,Goed
"Engineer, mining",Cas van Oudewater-Kamp,F,Marokkaans,Hoog,Alleenstaand,Rechts,WO,Hindoeïstisch,Gescheiden,Fulltime,Rijtjeshuis,Intermediate,78,Laag,Goed,Goed,Gemiddeld
"Psychologist, prison and probation services",Annemijn Kolen-Overeem,F,Pools,Hoog,Samenwonend,Rechts,HAVO,Islamitisch,Ongehuwd,Student,Rijtjeshuis,Advanced,64,Hoog,Goed,Gemiddeld,Gemiddeld
"Nurse, adult",Jill van Rossum,F,Nederlands,Laag,Alleenstaand,Rechts,MBO,Christelijk,Ongehuwd,Fulltime,Appartement,Beginner,23,Laag,Slecht,Slecht,Gemiddeld
"Journalist, broadcasting",Angelina Stook,M,Portugees,Hoog,Samenwonend,Links,VMBO,Christelijk,Ongehuwd,Student,Woonboot,Beginner,76,Laag,Goed,Goed,Slecht
"Engineer, production",Esmée Wipstrik,F,Nederlands,Hoog,Samenwonend,Links,MBO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Advanced,32,Laag,Gemiddeld,Gemiddeld,Slecht
Production manager,Milan Bave,F,Pools,Laag,Samenwonend,Midden,MBO,Atheïstisch,Ongehuwd,Fulltime,Appartement,Expert,35,Laag,Goed,Gemiddeld,Slecht
Manufacturing systems engineer,Vigo de Graaf-Doornhem,M,Duits,Gemiddeld,Samenwonend,Midden,Basisonderwijs,Christelijk,Ongehuwd,Fulltime,Appartement,Intermediate,79,Hoog,Goed,Slecht,Goed
Archaeologist,Gerrit Weijland,M,Duits,Laag,Samenwonend,Rechts,MBO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,44,Gemiddeld,Goed,Gemiddeld,Slecht
Counselling psychologist,Job Welf,M,Irakees,Hoog,Alleenstaand met kinderen,Rechts,MBO,Atheïstisch,Gescheiden,Fulltime,Appartement,Expert,56,Laag,Goed,Goed,Gemiddeld
Ranger/warden,Lynn Holthuis,M,Marokkaans,Gemiddeld,Samenwonend met kinderen,Links,HAVO,Islamitisch,Gehuwd,Fulltime,Rijtjeshuis,Advanced,88,Gemiddeld,Gemiddeld,Gemiddeld,Goed
Operational investment banker,Owen Miltenburg,M,Marokkaans,Hoog,Alleenstaand met kinderen,Links,VWO,Hindoeïstisch,Gehuwd,Student,Appartement,Beginner,50,Hoog,Goed,Slecht,Gemiddeld
"Production designer, theatre/television/film",Milan Wolzak,M,Duits,Hoog,Samenwonend,Links,VMBO,Atheïstisch,Weduwe/Weduwnaar,Fulltime,Rijtjeshuis,Intermediate,66,Gemiddeld,Goed,Goed,Gemiddeld
