job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Community education officer,Ashley Spruyt-van der Kint,M,Chinees,Laag,Samenwonend,Midden,VMBO,Islamitisch,Gehuwd,Werkloos,Appartement,Expert,40,Laag,Gemiddeld,Gemiddeld,Goed
Fine artist,Femke van Northeim,M,Nederlands,Laag,Samenwonend,Links,MBO,Hindoeïstisch,Ongehuwd,Gepensioneerd,Rijtjeshuis,Expert,36,Hoog,Slecht,Slecht,Gemiddeld
Clinical psychologist,Ninthe 's Gravensande,F,Marokkaans,Hoog,Alleenstaand met kinderen,Rechts,WO,Islamitisch,Ongehuwd,Zelfstandig,Rijtjeshuis,Expert,27,Hoog,Goed,Gemiddeld,Gemiddeld
Speech and language therapist,Anna Bastiaanse-van der Horst,M,Chinees,Laag,Samenwonend,Rechts,HBO,Atheïstisch,Gehuwd,Fulltime,Twee-onder-een-kap,Intermediate,78,Hoog,Gemiddeld,Gemiddeld,Slecht
Hospital doctor,Lynn van der Ploeg,F,Nederlands,Laag,Alleenstaand met kinderen,Midden,VMBO,Christelijk,Gescheiden,Fulltime,Twee-onder-een-kap,Intermediate,28,Laag,Gemiddeld,Gemiddeld,Goed
Homeopath,Helena François,M,Antilliaans,Laag,Samenwonend,Rechts,VMBO,Atheïstisch,Ongehuwd,Parttime,Rijtjeshuis,Advanced,28,Gemiddeld,Goed,Slecht,Gemiddeld
Production manager,Morris de Vries-Wolzak,F,Marokkaans,Laag,Samenwonend,Links,VMBO,Islamitisch,Ongehuwd,Parttime,Rijtjeshuis,Expert,45,Hoog,Slecht,Slecht,Gemiddeld
Sales executive,Madelief Estey,M,Syrisch,Gemiddeld,Samenwonend met kinderen,Links,Basisonderwijs,Christelijk,Ongehuwd,Gepensioneerd,Twee-onder-een-kap,Intermediate,85,Laag,Slecht,Goed,Gemiddeld
"Designer, jewellery",Jip Tamsma-Kosten,M,Nederlands,Gemiddeld,Alleenstaand met kinderen,Rechts,MBO,Christelijk,Ongehuwd,Werkloos,Appartement,Intermediate,19,Gemiddeld,Gemiddeld,Goed,Gemiddeld
"Chemist, analytical",Teun van den Berg,F,Somalisch,Gemiddeld,Samenwonend met kinderen,Rechts,HBO,Atheïstisch,Ongehuwd,Zelfstandig,Appartement,Intermediate,38,Laag,Slecht,Gemiddeld,Goed
"Designer, fashion/clothing",Kyara Heijman,F,Bulgaars,Laag,Samenwonend,Rechts,MBO,Anders,Gehuwd,Student,Appartement,Intermediate,68,Laag,Gemiddeld,Goed,Gemiddeld
"Engineer, aeronautical",Lucy Vallenduuk,F,Nederlands,Laag,Samenwonend met kinderen,Links,WO,Christelijk,Gescheiden,Gepensioneerd,Rijtjeshuis,Intermediate,95,Laag,Gemiddeld,Gemiddeld,Slecht
"Nurse, learning disability",Eline Koret-Friehus,F,Chinees,Gemiddeld,Alleenstaand,Rechts,VMBO,Hindoeïstisch,Ongehuwd,Gepensioneerd,Appartement,Digibeet,56,Laag,Gemiddeld,Slecht,Goed
"Presenter, broadcasting",Bas Belpere,M,Indonesisch,Laag,Samenwonend met kinderen,Midden,Basisonderwijs,Anders,Gehuwd,Werkloos,Rijtjeshuis,Advanced,39,Gemiddeld,Gemiddeld,Goed,Goed
Financial adviser,Lieve Gruijl,M,Irakees,Gemiddeld,Samenwonend,Links,HBO,Anders,Weduwe/Weduwnaar,Fulltime,Rijtjeshuis,Expert,43,Hoog,Gemiddeld,Gemiddeld,Slecht
"Scientist, physiological",Mare Diesbergen,F,Nederlands,Hoog,Samenwonend,Midden,MBO,Joods,Gehuwd,Fulltime,Appartement,Expert,80,Hoog,Goed,Goed,Gemiddeld
"Surveyor, planning and development",Duuk Beourgeois-Klein,M,Irakees,Laag,Samenwonend,Links,MBO,Anders,Gescheiden,Student,Rijtjeshuis,Beginner,70,Hoog,Slecht,Slecht,Goed
Multimedia specialist,Leah van Noordeloos,M,Duits,Gemiddeld,Samenwonend met kinderen,Midden,HAVO,Islamitisch,Gehuwd,Parttime,Appartement,Beginner,75,Hoog,Gemiddeld,Gemiddeld,Goed
