job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Lawyer,Job Room,F,Nederlands,Gemiddeld,Samenwonend met kinderen,Links,WO,Christelijk,Gehuwd,Parttime,Appartement,Digibeet,21,Gemiddeld,Slecht,Goed,Gemiddeld
Pension scheme manager,Sterre Meeres,M,Surinaams,Laag,Samenwonend met kinderen,Midden,HAVO,Christelijk,Gehuwd,Parttime,Woonboot,Expert,65,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Geographical information systems officer,Ivan van der Pluijm-Hendriks,F,Chinees,Hoog,Samenwonend,Midden,HBO,Christelijk,Gehuwd,Zelfstandig,Twee-onder-een-kap,Digibeet,80,Laag,Gemiddeld,Gemiddeld,Slecht
Leisure centre manager,Jordy Koning,M,Nederlands,Hoog,Alleenstaand met kinderen,Midden,VMBO,Anders,Ongehuwd,Fulltime,Vrijstaand,Expert,48,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Chartered management accountant,Melissa Schulten,M,Marokkaans,Laag,Samenwonend,Rechts,HBO,Joods,Ongehuwd,Student,Appartement,Advanced,62,Gemiddeld,Goed,Goed,Goed
Chief Operating Officer,Maja de Reede,M,Indonesisch,Gemiddeld,Samenwonend met kinderen,Midden,MBO,Christelijk,Ongehuwd,Gepensioneerd,Rijtjeshuis,Beginner,71,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Lawyer,Joey Hehl,M,Nederlands,Gemiddeld,Samenwonend,Rechts,VMBO,Anders,Ongehuwd,Werkloos,Vrijstaand,Intermediate,25,Laag,Gemiddeld,Gemiddeld,Slecht
"Embryologist, clinical",Feline van Riet,F,Irakees,Gemiddeld,Samenwonend met kinderen,Midden,VWO,Islamitisch,Gescheiden,Parttime,Appartement,Intermediate,99,Hoog,Gemiddeld,Gemiddeld,Slecht
Television/film/video producer,Mirthe Dorsman,F,Somalisch,Hoog,Alleenstaand,Rechts,Basisonderwijs,Christelijk,Gehuwd,Gepensioneerd,Woonboot,Intermediate,88,Laag,Slecht,Slecht,Goed
"Engineer, technical sales",Mirthe Lafleur,M,Nederlands,Laag,Alleenstaand met kinderen,Rechts,VWO,Atheïstisch,Gehuwd,Fulltime,Rijtjeshuis,Beginner,38,Laag,Gemiddeld,Goed,Gemiddeld
Electronics engineer,Rosa Keijser-François,M,Nederlands,Gemiddeld,Samenwonend met kinderen,Links,MBO,Anders,Gehuwd,Fulltime,Rijtjeshuis,Advanced,98,Laag,Slecht,Goed,Gemiddeld
Tourist information centre manager,Rowan van den Corput,M,Indonesisch,Gemiddeld,Alleenstaand,Midden,VWO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,76,Laag,Slecht,Slecht,Goed
Magazine journalist,Sylvie Molen,F,Syrisch,Laag,Samenwonend met kinderen,Links,VMBO,Atheïstisch,Ongehuwd,Student,Rijtjeshuis,Beginner,31,Laag,Gemiddeld,Goed,Gemiddeld
"Psychologist, counselling",Ibrahim van Duivenvoorde-van den Brink,M,Roemeens,Gemiddeld,Samenwonend met kinderen,Links,MBO,Islamitisch,Gescheiden,Student,Rijtjeshuis,Expert,42,Laag,Slecht,Goed,Gemiddeld
