job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Secondary school teacher,Olivia Chotzen,F,Indonesisch,Hoog,Samenwonend met kinderen,Rechts,VWO,Joods,Weduwe/Weduwnaar,Student,Twee-onder-een-kap,Digibeet,85,Gemiddeld,Goed,Goed,Goed
Research scientist (maths),Ivan David-Sterkman,F,Surinaams,Gemiddeld,Samenwonend met kinderen,Midden,MBO,Islamitisch,Ongehuwd,Fulltime,Vrijstaand,Beginner,50,Gemiddeld,Gemiddeld,Goed,Goed
Bookseller,Julius Hermans,M,Chinees,Laag,Alleenstaand,Rechts,WO,Christelijk,Gehuwd,Student,Rijtjeshuis,Intermediate,96,Gemiddeld,Goed,Gemiddeld,Gemiddeld
"Sound technician, broadcasting/film/video",Catharina van Bunschoten-Schrant,F,Nederlands,Laag,Samenwonend,Midden,WO,Atheïstisch,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,37,Laag,Slecht,Gemiddeld,Slecht
"Teacher, special educational needs",Thijmen Geneart,F,Nederlands,Gemiddeld,Samenwonend,Rechts,VMBO,Christelijk,Gehuwd,Parttime,Studio,Advanced,76,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
"Designer, ceramics/pottery",Ashley Cosman-van Voorhout,F,Indonesisch,Laag,Samenwonend met kinderen,Links,WO,Joods,Ongehuwd,Student,Rijtjeshuis,Digibeet,68,Gemiddeld,Slecht,Gemiddeld,Goed
Chartered legal executive (England and Wales),Elisa van Cuijck-Aertsz,F,Nederlands,Laag,Alleenstaand,Rechts,MBO,Christelijk,Gehuwd,Zelfstandig,Rijtjeshuis,Intermediate,99,Hoog,Goed,Gemiddeld,Goed
Regulatory affairs officer,Aylin Spanhaak,M,Antilliaans,Laag,Samenwonend,Rechts,VWO,Anders,Gehuwd,Parttime,Appartement,Beginner,52,Gemiddeld,Goed,Gemiddeld,Goed
"Surveyor, quantity",Sten Janse,M,Eritrees,Gemiddeld,Alleenstaand,Rechts,HBO,Anders,Gescheiden,Parttime,Rijtjeshuis,Beginner,53,Laag,Gemiddeld,Slecht,Slecht
Horticultural consultant,Suus Dennenberg-Heijmen,F,Indonesisch,Laag,Samenwonend,Rechts,HAVO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,60,Laag,Goed,Goed,Gemiddeld
Chief of Staff,Norah Hulshouts,F,Nederlands,Laag,Samenwonend met kinderen,Midden,HAVO,Islamitisch,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,38,Laag,Gemiddeld,Goed,Slecht
Clothing/textile technologist,Kaylee Bolkesteijn,M,Nederlands,Laag,Alleenstaand met kinderen,Rechts,VMBO,Islamitisch,Gescheiden,Zelfstandig,Studio,Intermediate,85,Laag,Goed,Goed,Goed
Logistics and distribution manager,Keano Rubben,F,Marokkaans,Hoog,Samenwonend met kinderen,Midden,WO,Atheïstisch,Gescheiden,Fulltime,Rijtjeshuis,Beginner,47,Gemiddeld,Slecht,Goed,Gemiddeld
Community education officer,Evie Totwiller,M,Surinaams,Laag,Samenwonend,Links,VMBO,Christelijk,Ongehuwd,Gepensioneerd,Rijtjeshuis,Digibeet,73,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Heritage manager,Chloé van den Nyeuwenhuysen-van der Noot,F,Nederlands,Gemiddeld,Alleenstaand,Links,MBO,Boeddhistisch,Weduwe/Weduwnaar,Fulltime,Appartement,Intermediate,80,Gemiddeld,Slecht,Gemiddeld,Goed
Warehouse manager,Laurens van Kasteelen,F,Surinaams,Laag,Samenwonend,Rechts,MBO,Islamitisch,Gehuwd,Zelfstandig,Twee-onder-een-kap,Advanced,73,Laag,Gemiddeld,Goed,Goed
Multimedia programmer,Noortje van de Greef,M,Nederlands,Laag,Samenwonend,Links,VMBO,Christelijk,Gehuwd,Werkloos,Woonboot,Intermediate,71,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
Broadcast presenter,Giel van der Stael,M,Chinees,Gemiddeld,Alleenstaand,Links,HAVO,Islamitisch,Gehuwd,Zelfstandig,Rijtjeshuis,Digibeet,74,Laag,Gemiddeld,Goed,Slecht
"Therapist, speech and language",Twan Lamotte,M,Italiaans,Hoog,Alleenstaand met kinderen,Midden,HBO,Islamitisch,Gehuwd,Fulltime,Appartement,Beginner,48,Laag,Gemiddeld,Slecht,Gemiddeld
General practice doctor,Laurens Mangel,M,Indonesisch,Laag,Samenwonend met kinderen,Rechts,WO,Atheïstisch,Gehuwd,Gepensioneerd,Appartement,Beginner,75,Hoog,Gemiddeld,Goed,Slecht
Catering manager,Quinty van Nederlotharingen-Jorlink,F,Nederlands,Hoog,Alleenstaand,Midden,MBO,Christelijk,Gehuwd,Parttime,Appartement,Digibeet,59,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Dance movement psychotherapist,Bo Reimes,M,Turks,Hoog,Samenwonend met kinderen,Links,MBO,Islamitisch,Weduwe/Weduwnaar,Parttime,Rijtjeshuis,Digibeet,20,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Musician,Nadine Steenbakkers-van der Laarse,M,Italiaans,Gemiddeld,Alleenstaand met kinderen,Rechts,MBO,Christelijk,Gescheiden,Fulltime,Appartement,Advanced,69,Hoog,Gemiddeld,Gemiddeld,Goed
Fitness centre manager,Bart Oosterhout,F,Chinees,Gemiddeld,Samenwonend met kinderen,Links,VMBO,Christelijk,Ongehuwd,Parttime,Appartement,Expert,98,Laag,Slecht,Gemiddeld,Goed
Actuary,Pepijn Bave,M,Afghaans,Laag,Samenwonend,Links,WO,Islamitisch,Ongehuwd,Werkloos,Rijtjeshuis,Advanced,94,Laag,Slecht,Slecht,Goed
"Engineer, maintenance (IT)",Fem de Vroege-Vrancken,M,Syrisch,Laag,Samenwonend met kinderen,Rechts,MBO,Islamitisch,Gehuwd,Parttime,Woonboot,Beginner,92,Laag,Slecht,Goed,Slecht
Operational investment banker,Janne van Heusden,M,Nederlands,Laag,Samenwonend,Rechts,VWO,Boeddhistisch,Ongehuwd,Parttime,Vrijstaand,Intermediate,23,Gemiddeld,Gemiddeld,Gemiddeld,Slecht
Information officer,Frederique Flink,M,Marokkaans,Hoog,Alleenstaand,Rechts,MBO,Anders,Ongehuwd,Student,Studio,Advanced,41,Gemiddeld,Gemiddeld,Goed,Gemiddeld
Learning mentor,Valerie de Vries,F,Surinaams,Laag,Alleenstaand,Midden,VMBO,Islamitisch,Ongehuwd,Fulltime,Appartement,Intermediate,19,Laag,Gemiddeld,Goed,Goed
"Therapist, speech and language",Matthias Stange,M,Nederlands,Laag,Alleenstaand,Midden,MBO,Anders,Ongehuwd,Parttime,Rijtjeshuis,Beginner,49,Laag,Gemiddeld,Gemiddeld,Slecht
Chiropodist,Guusje Kuiper,M,Turks,Gemiddeld,Samenwonend met kinderen,Rechts,HAVO,Islamitisch,Gehuwd,Zelfstandig,Appartement,Expert,53,Hoog,Slecht,Slecht,Gemiddeld
"Psychologist, clinical",Chris Olykan,F,Surinaams,Gemiddeld,Samenwonend met kinderen,Links,MBO,Christelijk,Gehuwd,Fulltime,Rijtjeshuis,Expert,19,Laag,Gemiddeld,Goed,Slecht
