job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Physicist, medical",Amelia Potters-Pastoors,F,Afghaans,Laag,Samenwonend,Midden,HAVO,Atheïstisch,Gehuwd,Fulltime,Rijtjeshuis,Advanced,36,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Financial manager,Evelien Wolffel,M,Pools,Laag,Alleenstaand met kinderen,Rechts,WO,Atheïstisch,Ongehuwd,Parttime,Woonboot,Intermediate,42,Hoog,Gemiddeld,Gemiddeld,Slecht
"Restaurant manager, fast food",Emir de Pauw,F,Antilliaans,Laag,Alleenstaand met kinderen,Rechts,MBO,Atheïstisch,Gehuwd,Zelfstandig,Rijtjeshuis,Advanced,58,Laag,Gemiddeld,Goed,Goed
Horticultural therapist,Loes van den Velden,F,Italiaans,Gemiddeld,Samenwonend,Links,WO,Anders,Gescheiden,Werkloos,Appartement,Advanced,44,Gemiddeld,Gemiddeld,Goed,Gemiddeld
Print production planner,Helena Visser,F,Turks,Gemiddeld,Samenwonend met kinderen,Midden,HAVO,Christelijk,Ongehuwd,Parttime,Twee-onder-een-kap,Intermediate,76,Laag,Goed,Gemiddeld,Goed
Chartered certified accountant,Dirk van het Heerenveen,M,Antilliaans,Laag,Alleenstaand,Rechts,VMBO,Atheïstisch,Gehuwd,Fulltime,Twee-onder-een-kap,Intermediate,71,Gemiddeld,Goed,Slecht,Gemiddeld
Data scientist,Michelle Post-Lether,M,Roemeens,Laag,Alleenstaand,Links,WO,Islamitisch,Gehuwd,Fulltime,Rijtjeshuis,Intermediate,20,Gemiddeld,Gemiddeld,Gemiddeld,Slecht
Neurosurgeon,Niek Rijks-Uphaus,M,Nederlands,Hoog,Alleenstaand,Links,HBO,Atheïstisch,Ongehuwd,Student,Twee-onder-een-kap,Intermediate,81,Gemiddeld,Goed,Gemiddeld,Gemiddeld
Metallurgist,Kyra Hoekstra,M,Nederlands,Hoog,Alleenstaand,Links,MBO,Hindoeïstisch,Ongehuwd,Fulltime,Vrijstaand,Expert,80,Hoog,Gemiddeld,Goed,Goed
Advertising account planner,Thomas Marchal,M,Surinaams,Laag,Alleenstaand met kinderen,Rechts,HBO,Islamitisch,Ongehuwd,Fulltime,Studio,Beginner,52,Hoog,Gemiddeld,Slecht,Gemiddeld
"Engineer, aeronautical",Vajèn van der Velden,F,Irakees,Gemiddeld,Alleenstaand met kinderen,Rechts,VMBO,Atheïstisch,Gescheiden,Fulltime,Rijtjeshuis,Advanced,88,Laag,Goed,Goed,Gemiddeld
"Pilot, airline",Juul van Heusden,M,Afghaans,Laag,Samenwonend met kinderen,Rechts,WO,Atheïstisch,Ongehuwd,Werkloos,Appartement,Beginner,51,Hoog,Slecht,Slecht,Gemiddeld
"Chemist, analytical",Jolie Knoers,F,Nederlands,Laag,Samenwonend met kinderen,Links,MBO,Christelijk,Gescheiden,Zelfstandig,Twee-onder-een-kap,Intermediate,48,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
"Editor, commissioning",Dex Rademaker,M,Turks,Laag,Samenwonend,Rechts,VMBO,Islamitisch,Gescheiden,Fulltime,Rijtjeshuis,Advanced,25,Gemiddeld,Goed,Goed,Gemiddeld
