job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Artist,Fenna van Maaren,F,Bulgaars,Laag,Alleenstaand,Links,HBO,Christelijk,Ongehuwd,Werkloos,Appartement,Expert,87,Laag,Gemiddeld,Gemiddeld,Goed
Senior tax professional/tax inspector,Maya van Wel,F,Nederlands,Laag,Samenwonend met kinderen,Links,WO,Atheïstisch,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,86,Hoog,Goed,Gemiddeld,Slecht
"Engineer, mining",Sem Verheij,M,Indiaas,Laag,Samenwonend met kinderen,Links,MBO,Islamitisch,Gescheiden,Fulltime,Appartement,Intermediate,27,Gemiddeld,Slecht,Slecht,Gemiddeld
Counselling psychologist,Maud Vandenbergh,M,Turks,Laag,Samenwonend met kinderen,Links,WO,Atheïstisch,Gehuwd,Student,Appartement,Intermediate,53,Hoog,Gemiddeld,Gemiddeld,Goed
Passenger transport manager,Jort van den Nuwenhijsen,M,Nederlands,Laag,Samenwonend met kinderen,Rechts,VMBO,Islamitisch,Ongehuwd,Student,Rijtjeshuis,Beginner,48,Gemiddeld,Goed,Goed,Gemiddeld
Marine scientist,Fabiënne Hermans,M,Italiaans,Laag,Samenwonend,Links,MBO,Boeddhistisch,Gescheiden,Fulltime,Vrijstaand,Expert,50,Hoog,Gemiddeld,Goed,Slecht
"Copywriter, advertising",Angelina Persijn,M,Chinees,Laag,Samenwonend met kinderen,Midden,MBO,Christelijk,Ongehuwd,Fulltime,Studio,Beginner,29,Hoog,Goed,Gemiddeld,Goed
English as a foreign language teacher,Lina van Tours,M,Roemeens,Hoog,Samenwonend,Rechts,MBO,Islamitisch,Ongehuwd,Werkloos,Rijtjeshuis,Intermediate,78,Gemiddeld,Slecht,Goed,Gemiddeld
"Scientist, research (maths)",Noëlle Köster,F,Surinaams,Laag,Alleenstaand,Midden,MBO,Islamitisch,Gescheiden,Fulltime,Appartement,Intermediate,77,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Computer games developer,Sterre van der Brink-Claassen,F,Indiaas,Laag,Alleenstaand,Links,VWO,Anders,Weduwe/Weduwnaar,Parttime,Rijtjeshuis,Beginner,72,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
