job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Archaeologist,Jort van Bernicia,M,Nederlands,Laag,Samenwonend met kinderen,Midden,MBO,Joods,Gehuwd,Fulltime,Appartement,Intermediate,87,Laag,Goed,Gemiddeld,Gemiddeld
Chief Financial Officer,Philip van Landen-van Wassenaar,F,Pools,Gemiddeld,Samenwonend met kinderen,Rechts,VMBO,Islamitisch,Gescheiden,Student,Rijtjeshuis,Beginner,72,Gemiddeld,Goed,Slecht,Goed
Teaching laboratory technician,Renske Willems,M,Marokkaans,Laag,Alleenstaand,Rechts,MBO,Boeddhistisch,Gescheiden,Fulltime,Rijtjeshuis,Intermediate,63,Gemiddeld,Goed,Gemiddeld,Gemiddeld
Environmental consultant,Victoria Bresse,M,Surinaams,Laag,Samenwonend met kinderen,Rechts,HBO,Christelijk,Ongehuwd,Fulltime,Appartement,Expert,84,Laag,Gemiddeld,Gemiddeld,Gemiddeld
"Clinical scientist, histocompatibility and immunogenetics",Daphne Cosman,F,Antilliaans,Gemiddeld,Samenwonend met kinderen,Midden,WO,Christelijk,Ongehuwd,Fulltime,Studio,Intermediate,85,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Radiation protection practitioner,Jip Mulder-Eerden,M,Antilliaans,Hoog,Samenwonend,Rechts,MBO,Christelijk,Gehuwd,Parttime,Appartement,Digibeet,61,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
"Pilot, airline",Stella Peters,M,Nederlands,Laag,Samenwonend,Midden,WO,Atheïstisch,Ongehuwd,Parttime,Appartement,Intermediate,49,Laag,Goed,Slecht,Slecht
"Scientist, audiological",Tirza van Bentheim-de Bruin,F,Turks,Hoog,Samenwonend met kinderen,Links,VMBO,Atheïstisch,Gescheiden,Fulltime,Appartement,Advanced,38,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Dietitian,Leah van Wessex-Steinmeiern,F,Nederlands,Laag,Alleenstaand,Rechts,MBO,Christelijk,Ongehuwd,Fulltime,Studio,Digibeet,90,Laag,Gemiddeld,Gemiddeld,Gemiddeld
"Scientist, research (maths)",Aiden Scuylenborchs,F,Nederlands,Gemiddeld,Alleenstaand met kinderen,Rechts,MBO,Christelijk,Gehuwd,Parttime,Appartement,Intermediate,84,Gemiddeld,Slecht,Gemiddeld,Goed
