job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Statistician,Lindsey de Haas,F,Spaans,Laag,Samenwonend met kinderen,Rechts,Basisonderwijs,Christelijk,Gehuwd,Student,Rijtjeshuis,Intermediate,76,Hoog,Slecht,Slecht,Goed
Aid worker,Ninthe Volcke,M,Spaans,Gemiddeld,Samenwonend met kinderen,Midden,MBO,Atheïstisch,Gescheiden,Student,Twee-onder-een-kap,Beginner,31,Laag,Gemiddeld,Goed,Gemiddeld
Medical technical officer,Nick de Wit,F,Eritrees,Laag,Samenwonend met kinderen,Midden,MBO,Christelijk,Ongehuwd,Fulltime,Vrijstaand,Advanced,34,Laag,Gemiddeld,Goed,Slecht
Financial controller,Lynn van der Linden,M,Roemeens,Gemiddeld,Samenwonend met kinderen,Midden,MBO,Christelijk,Ongehuwd,Student,Studio,Beginner,64,Laag,Gemiddeld,Slecht,Goed
Estate agent,Jay Woudenberg,F,Eritrees,Hoog,Samenwonend,Midden,MBO,Hindoeïstisch,Gehuwd,Fulltime,Rijtjeshuis,Digibeet,45,Gemiddeld,Goed,Gemiddeld,Gemiddeld
Brewing technologist,Nadine van Kuijc,F,Indiaas,Gemiddeld,Alleenstaand,Links,VMBO,Anders,Gehuwd,Fulltime,Vrijstaand,Expert,18,Gemiddeld,Goed,Gemiddeld,Gemiddeld
Arts development officer,Stef van der Kaay,M,Bulgaars,Gemiddeld,Samenwonend,Midden,HAVO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Advanced,88,Laag,Gemiddeld,Gemiddeld,Slecht
Armed forces technical officer,Marit Ketel,F,Duits,Gemiddeld,Samenwonend,Midden,HAVO,Atheïstisch,Gehuwd,Zelfstandig,Rijtjeshuis,Beginner,47,Laag,Goed,Goed,Gemiddeld
Health promotion specialist,Merle Bruggeman-van de Coterlet,F,Marokkaans,Gemiddeld,Samenwonend,Links,VMBO,Christelijk,Ongehuwd,Parttime,Appartement,Expert,57,Gemiddeld,Slecht,Goed,Gemiddeld
Customer service manager,Tijs van Alenburg,F,Turks,Gemiddeld,Alleenstaand,Rechts,HBO,Anders,Gehuwd,Fulltime,Vrijstaand,Digibeet,81,Laag,Gemiddeld,Gemiddeld,Slecht
Insurance underwriter,Gerrit Beijring,F,Antilliaans,Gemiddeld,Samenwonend,Midden,HBO,Islamitisch,Gescheiden,Student,Appartement,Expert,43,Laag,Slecht,Gemiddeld,Gemiddeld
Psychiatric nurse,Nout Wever,F,Bulgaars,Laag,Alleenstaand,Midden,MBO,Atheïstisch,Ongehuwd,Parttime,Rijtjeshuis,Advanced,19,Laag,Gemiddeld,Goed,Goed
Claims inspector/assessor,Leah Gemen,F,Nederlands,Hoog,Alleenstaand met kinderen,Midden,VMBO,Anders,Ongehuwd,Werkloos,Rijtjeshuis,Digibeet,41,Laag,Gemiddeld,Slecht,Gemiddeld
Actor,Justin van Jumiège,M,Antilliaans,Gemiddeld,Samenwonend met kinderen,Rechts,VMBO,Atheïstisch,Ongehuwd,Fulltime,Woonboot,Advanced,99,Gemiddeld,Slecht,Gemiddeld,Goed
"Administrator, arts",Ise Helmerhorst,M,Pools,Laag,Samenwonend,Links,MBO,Christelijk,Ongehuwd,Zelfstandig,Rijtjeshuis,Advanced,72,Gemiddeld,Goed,Goed,Goed
Dispensing optician,Willem Furda-Hakker,M,Indonesisch,Gemiddeld,Alleenstaand,Midden,MBO,Joods,Gescheiden,Zelfstandig,Vrijstaand,Advanced,90,Hoog,Gemiddeld,Slecht,Slecht
"Psychologist, occupational",Luc van het Heerenveen,M,Antilliaans,Laag,Samenwonend,Rechts,HBO,Christelijk,Gescheiden,Fulltime,Rijtjeshuis,Digibeet,94,Laag,Goed,Gemiddeld,Goed
Estate manager/land agent,Sienna Wolters,M,Italiaans,Laag,Alleenstaand met kinderen,Links,Basisonderwijs,Islamitisch,Ongehuwd,Parttime,Rijtjeshuis,Beginner,36,Laag,Goed,Goed,Goed
Farm manager,Esila Demmendaal-Labado,F,Indonesisch,Laag,Samenwonend,Midden,HBO,Hindoeïstisch,Ongehuwd,Fulltime,Vrijstaand,Beginner,27,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Consulting civil engineer,Victor van den Henst,F,Nederlands,Laag,Samenwonend met kinderen,Rechts,MBO,Islamitisch,Ongehuwd,Student,Vrijstaand,Digibeet,57,Laag,Gemiddeld,Goed,Slecht
