job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Engineer, agricultural",Mick Huls-Adriaansen,F,Nederlands,Laag,Alleenstaand met kinderen,Rechts,VMBO,Islamitisch,Ongehuwd,Fulltime,Appartement,Digibeet,18,Laag,Goed,Gemiddeld,Gemiddeld
Engineering geologist,Nienke Matthews-van Westfalen,M,Eritrees,Laag,Samenwonend,Rechts,HAVO,Atheïstisch,Gescheiden,Parttime,Vrijstaand,Beginner,94,Laag,Goed,Gemiddeld,Goed
"Pilot, airline",Sofie van Haeften,F,Nederlands,Gemiddeld,Samenwonend,Rechts,Basisonderwijs,Islamitisch,Ongehuwd,Fulltime,Appartement,Advanced,81,Laag,Slecht,Gemiddeld,Goed
Sales executive,Valerie van Haspengouw Hesbaye-van der Pouw,F,Roemeens,Laag,Alleenstaand,Midden,HAVO,Anders,Gehuwd,Fulltime,Vrijstaand,Beginner,54,Laag,Slecht,Goed,Gemiddeld
"Surveyor, building control",Levi van Leuven,M,Marokkaans,Gemiddeld,Alleenstaand,Links,MBO,Atheïstisch,Ongehuwd,Zelfstandig,Rijtjeshuis,Intermediate,89,Laag,Goed,Gemiddeld,Gemiddeld
Microbiologist,Pien Keltenie,M,Italiaans,Laag,Alleenstaand met kinderen,Links,HBO,Christelijk,Gehuwd,Werkloos,Rijtjeshuis,Intermediate,86,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Quantity surveyor,Jurre Potters,M,Indonesisch,Hoog,Alleenstaand,Links,WO,Christelijk,Gehuwd,Gepensioneerd,Appartement,Expert,39,Gemiddeld,Gemiddeld,Gemiddeld,Goed
Archaeologist,Mohammed Moet,M,Nederlands,Gemiddeld,Alleenstaand,Rechts,VWO,Christelijk,Gescheiden,Fulltime,Rijtjeshuis,Intermediate,95,Laag,Goed,Gemiddeld,Gemiddeld
"Therapist, drama",Berat Billung-Jeggij,M,Irakees,Gemiddeld,Samenwonend,Rechts,VMBO,Anders,Gehuwd,Fulltime,Twee-onder-een-kap,Beginner,96,Hoog,Gemiddeld,Gemiddeld,Slecht
Archaeologist,Elias Flink,F,Spaans,Laag,Samenwonend,Links,MBO,Hindoeïstisch,Gescheiden,Fulltime,Studio,Digibeet,45,Laag,Slecht,Gemiddeld,Gemiddeld
