job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Research scientist (physical sciences),Nout Adriaansen,M,Nederlands,Gemiddeld,Samenwonend met kinderen,Midden,HAVO,Anders,Gehuwd,Fulltime,Woonboot,Advanced,80,Laag,Gemiddeld,Gemiddeld,Slecht
"Engineer, maintenance (IT)",Jack van 't Houteveen,F,Afghaans,Laag,Samenwonend met kinderen,Midden,MBO,Atheïstisch,Gehuwd,Fulltime,Appartement,Intermediate,79,Hoog,Gemiddeld,Goed,Goed
"Engineer, civil (contracting)",Mehmet Soos,M,Irakees,Gemiddeld,Alleenstaand met kinderen,Rechts,VWO,Anders,Ongehuwd,Werkloos,Rijtjeshuis,Beginner,38,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Health service manager,Puck van Suinvorde,M,Indonesisch,Laag,Samenwonend,Rechts,MBO,Islamitisch,Gescheiden,Fulltime,Rijtjeshuis,Beginner,64,Laag,Slecht,Goed,Goed
Lawyer,Kay van Velzen-van der Maes,F,Irakees,Laag,Samenwonend met kinderen,Rechts,VMBO,Boeddhistisch,Ongehuwd,Parttime,Twee-onder-een-kap,Beginner,56,Laag,Gemiddeld,Gemiddeld,Gemiddeld
"Pilot, airline",Dion van der Stael de Jonge-Vermeulen,F,Nederlands,Laag,Alleenstaand,Rechts,VMBO,Christelijk,Ongehuwd,Parttime,Rijtjeshuis,Expert,46,Gemiddeld,Gemiddeld,Goed,Gemiddeld
Child psychotherapist,Thom de Keijser-Woudenberg,F,Portugees,Laag,Alleenstaand,Rechts,HBO,Christelijk,Ongehuwd,Zelfstandig,Vrijstaand,Advanced,76,Laag,Goed,Gemiddeld,Gemiddeld
Pensions consultant,Liam Huisman,M,Nederlands,Gemiddeld,Samenwonend met kinderen,Links,MBO,Christelijk,Ongehuwd,Parttime,Rijtjeshuis,Beginner,72,Laag,Slecht,Gemiddeld,Gemiddeld
Manufacturing systems engineer,Sem van Boulogne,F,Turks,Laag,Alleenstaand met kinderen,Rechts,MBO,Atheïstisch,Ongehuwd,Parttime,Rijtjeshuis,Beginner,65,Hoog,Gemiddeld,Gemiddeld,Slecht
Bonds trader,Kick Oennen,F,Eritrees,Laag,Alleenstaand,Links,MBO,Boeddhistisch,Ongehuwd,Fulltime,Appartement,Advanced,53,Hoog,Slecht,Gemiddeld,Gemiddeld
