job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Forensic psychologist,Berat Dennenberg,F,Pools,Hoog,Samenwonend met kinderen,Links,HBO,Atheïstisch,Ongehuwd,Parttime,Woonboot,Intermediate,27,Laag,Gemiddeld,Slecht,Gemiddeld
Structural engineer,Sophia van Santen,F,Nederlands,Laag,Samenwonend met kinderen,Links,MBO,Islamitisch,Ongehuwd,Student,Twee-onder-een-kap,Advanced,74,Hoog,Gemiddeld,Gemiddeld,Goed
"Administrator, arts",Jesper Merckx,M,Turks,Gemiddeld,Alleenstaand met kinderen,Rechts,MBO,Anders,Gehuwd,Student,Rijtjeshuis,Intermediate,64,Laag,Slecht,Goed,Gemiddeld
Art therapist,Ashley Aertsz,F,Marokkaans,Laag,Samenwonend,Midden,MBO,Anders,Ongehuwd,Werkloos,Woonboot,Advanced,45,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
"Scientist, audiological",Jayda Schilt-van Breugel,M,Nederlands,Gemiddeld,Alleenstaand,Midden,HAVO,Anders,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,53,Gemiddeld,Slecht,Goed,Goed
Therapeutic radiographer,Lindsey Engels-Fechant,M,Somalisch,Hoog,Samenwonend met kinderen,Midden,Basisonderwijs,Anders,Ongehuwd,Fulltime,Rijtjeshuis,Advanced,62,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Editorial assistant,Faye van Nus,M,Marokkaans,Laag,Samenwonend,Rechts,WO,Christelijk,Gescheiden,Student,Rijtjeshuis,Advanced,53,Laag,Goed,Gemiddeld,Gemiddeld
"Administrator, arts",Thom Holthuis,M,Surinaams,Gemiddeld,Alleenstaand met kinderen,Midden,Basisonderwijs,Islamitisch,Ongehuwd,Fulltime,Rijtjeshuis,Digibeet,30,Laag,Gemiddeld,Gemiddeld,Goed
"Designer, furniture",Nora Mathurin,F,Nederlands,Hoog,Alleenstaand,Rechts,HAVO,Boeddhistisch,Gehuwd,Gepensioneerd,Rijtjeshuis,Beginner,25,Hoog,Goed,Goed,Goed
Commercial/residential surveyor,Yusuf Vos,M,Nederlands,Hoog,Alleenstaand met kinderen,Midden,HAVO,Christelijk,Gehuwd,Parttime,Appartement,Digibeet,79,Gemiddeld,Goed,Goed,Goed
Medical laboratory scientific officer,Ryan le Floch,F,Nederlands,Hoog,Alleenstaand,Links,VMBO,Islamitisch,Ongehuwd,Fulltime,Vrijstaand,Advanced,18,Hoog,Goed,Gemiddeld,Gemiddeld
Operational researcher,Mare Bos,M,Marokkaans,Gemiddeld,Samenwonend,Links,HBO,Christelijk,Ongehuwd,Zelfstandig,Rijtjeshuis,Advanced,79,Laag,Goed,Gemiddeld,Gemiddeld
Chief Strategy Officer,Casper van Breukeleveen,F,Nederlands,Gemiddeld,Samenwonend,Midden,HAVO,Christelijk,Weduwe/Weduwnaar,Fulltime,Rijtjeshuis,Expert,59,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
Landscape architect,Esila Kuit,F,Turks,Gemiddeld,Alleenstaand,Rechts,VMBO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,98,Gemiddeld,Gemiddeld,Goed,Goed
Operational investment banker,Yusuf Bosch,F,Nederlands,Laag,Alleenstaand,Rechts,VMBO,Anders,Ongehuwd,Fulltime,Rijtjeshuis,Beginner,46,Gemiddeld,Goed,Goed,Goed
Trading standards officer,Sophie Verheuvel,F,Chinees,Laag,Samenwonend,Midden,VMBO,Atheïstisch,Ongehuwd,Zelfstandig,Rijtjeshuis,Advanced,47,Gemiddeld,Gemiddeld,Slecht,Gemiddeld
"Investment banker, operational",Stef van Dam,M,Surinaams,Laag,Alleenstaand,Midden,MBO,Christelijk,Gehuwd,Fulltime,Rijtjeshuis,Intermediate,62,Hoog,Slecht,Gemiddeld,Gemiddeld
"Development worker, international aid",Jort Dries,F,Indonesisch,Hoog,Samenwonend,Rechts,VMBO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,89,Hoog,Gemiddeld,Goed,Goed
Horticultural therapist,Bo Gerritsen,F,Marokkaans,Laag,Samenwonend met kinderen,Rechts,MBO,Anders,Ongehuwd,Fulltime,Vrijstaand,Expert,97,Laag,Gemiddeld,Goed,Gemiddeld
Maintenance engineer,Marit Kloppert,M,Turks,Gemiddeld,Samenwonend,Rechts,HBO,Atheïstisch,Ongehuwd,Parttime,Woonboot,Beginner,86,Laag,Goed,Goed,Slecht
Optometrist,Michelle de Bruijn-Elsenaar,F,Italiaans,Hoog,Alleenstaand met kinderen,Midden,HBO,Boeddhistisch,Gehuwd,Fulltime,Appartement,Intermediate,45,Laag,Gemiddeld,Gemiddeld,Gemiddeld
"Radiographer, diagnostic",Mustafa van den Oever,F,Nederlands,Gemiddeld,Samenwonend met kinderen,Links,WO,Hindoeïstisch,Gescheiden,Student,Vrijstaand,Digibeet,92,Laag,Goed,Gemiddeld,Slecht
Environmental consultant,Nora Gellemeyer,F,Nederlands,Laag,Samenwonend,Midden,HAVO,Islamitisch,Ongehuwd,Zelfstandig,Appartement,Beginner,93,Laag,Slecht,Gemiddeld,Gemiddeld
