job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
"Engineer, site",Quinty van de Wiel-van Beek,F,Italiaans,Laag,Samenwonend met kinderen,Midden,WO,Christelijk,Ongehuwd,Student,Appartement,Intermediate,64,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Technical brewer,Mara Boer,F,Spaans,Gemiddeld,Samenwonend,Links,Basisonderwijs,Christelijk,Ongehuwd,Zelfstandig,Appartement,Beginner,89,Gemiddeld,Gemiddeld,Goed,Goed
Environmental manager,Féline van Bunschoten,M,Duits,Hoog,Alleenstaand,Links,VMBO,Christelijk,Gehuwd,Gepensioneerd,Appartement,Digibeet,54,Laag,Goed,Gemiddeld,Gemiddeld
Private music teacher,Maja Appelman,F,Indiaas,Hoog,Samenwonend,Rechts,VMBO,Islamitisch,Ongehuwd,Werkloos,Rijtjeshuis,Digibeet,31,Gemiddeld,Slecht,Goed,Gemiddeld
Agricultural consultant,Philip ter Waarbeek,M,Turks,Laag,Samenwonend met kinderen,Midden,HBO,Atheïstisch,Ongehuwd,Student,Woonboot,Intermediate,81,Gemiddeld,Goed,Slecht,Gemiddeld
Geoscientist,Matthijs van de Greef,F,Nederlands,Laag,Alleenstaand,Rechts,HBO,Christelijk,Ongehuwd,Gepensioneerd,Rijtjeshuis,Beginner,69,Gemiddeld,Goed,Goed,Slecht
Intelligence analyst,Maarten van Gastel-Welf,M,Marokkaans,Gemiddeld,Alleenstaand met kinderen,Rechts,MBO,Islamitisch,Gehuwd,Zelfstandig,Rijtjeshuis,Advanced,50,Laag,Gemiddeld,Gemiddeld,Slecht
"Loss adjuster, chartered",Mirte Meyer,M,Irakees,Gemiddeld,Samenwonend met kinderen,Rechts,VWO,Christelijk,Ongehuwd,Gepensioneerd,Twee-onder-een-kap,Beginner,72,Gemiddeld,Gemiddeld,Slecht,Slecht
Freight forwarder,Robin Brumleve,M,Pools,Laag,Samenwonend met kinderen,Links,MBO,Boeddhistisch,Ongehuwd,Gepensioneerd,Studio,Beginner,29,Hoog,Goed,Goed,Gemiddeld
Photographer,Emily Willemsen,F,Irakees,Laag,Alleenstaand met kinderen,Links,VMBO,Anders,Ongehuwd,Werkloos,Rijtjeshuis,Advanced,67,Gemiddeld,Slecht,Slecht,Gemiddeld
"Surveyor, quantity",Jonathan Eelman,F,Duits,Laag,Samenwonend met kinderen,Links,HBO,Christelijk,Gescheiden,Fulltime,Rijtjeshuis,Advanced,47,Gemiddeld,Gemiddeld,Goed,Gemiddeld
Academic librarian,Teun van den Broek,F,Nederlands,Gemiddeld,Samenwonend,Midden,VWO,Anders,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,38,Hoog,Gemiddeld,Goed,Gemiddeld
Web designer,Vigo Jorlink,F,Nederlands,Laag,Samenwonend met kinderen,Midden,HAVO,Christelijk,Gehuwd,Fulltime,Rijtjeshuis,Expert,31,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Drilling engineer,Florian van Hoevel en van Zwindrecht,F,Nederlands,Laag,Samenwonend,Links,MBO,Islamitisch,Ongehuwd,Werkloos,Rijtjeshuis,Beginner,22,Laag,Gemiddeld,Goed,Goed
Chief Executive Officer,Abel van Hostaden,F,Pools,Laag,Samenwonend met kinderen,Links,WO,Hindoeïstisch,Gescheiden,Fulltime,Appartement,Intermediate,82,Hoog,Goed,Gemiddeld,Gemiddeld
