job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Waste management officer,Esmée Hollander,M,Portugees,Hoog,Samenwonend,Midden,VMBO,Christelijk,Ongehuwd,Gepensioneerd,Rijtjeshuis,Intermediate,87,Laag,Gemiddeld,Slecht,Goed
Chartered accountant,Micha Teunissen,M,Syrisch,Gemiddeld,Samenwonend met kinderen,Midden,VMBO,Islamitisch,Ongehuwd,Fulltime,Appartement,Intermediate,67,Laag,Slecht,Gemiddeld,Gemiddeld
"Doctor, general practice",Cornelia Wolters-Boers,F,Nederlands,Laag,Samenwonend met kinderen,Rechts,MBO,Christelijk,Gehuwd,Gepensioneerd,Appartement,Expert,36,Gemiddeld,Goed,Slecht,Goed
Naval architect,Mathijs Roessink,F,Nederlands,Gemiddeld,Samenwonend met kinderen,Midden,VWO,Christelijk,Ongehuwd,Zelfstandig,Rijtjeshuis,Digibeet,99,Laag,Slecht,Gemiddeld,Slecht
Sport and exercise psychologist,Kim Boer-van Goerle,F,Portugees,Gemiddeld,Samenwonend met kinderen,Links,VWO,Christelijk,Gescheiden,Fulltime,Rijtjeshuis,Advanced,24,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Research scientist (maths),Senna van der Horst,M,Indiaas,Laag,Alleenstaand,Midden,VWO,Anders,Weduwe/Weduwnaar,Fulltime,Rijtjeshuis,Beginner,20,Laag,Slecht,Goed,Goed
"Producer, television/film/video",Yinthe Janssen,M,Marokkaans,Hoog,Samenwonend met kinderen,Links,Basisonderwijs,Joods,Gehuwd,Fulltime,Vrijstaand,Beginner,78,Gemiddeld,Goed,Goed,Gemiddeld
Clinical research associate,Jim Appelman,M,Roemeens,Laag,Samenwonend met kinderen,Links,MBO,Atheïstisch,Ongehuwd,Parttime,Twee-onder-een-kap,Expert,30,Laag,Slecht,Gemiddeld,Goed
Interpreter,Colin Schellekens,M,Turks,Laag,Samenwonend met kinderen,Midden,HAVO,Islamitisch,Ongehuwd,Fulltime,Rijtjeshuis,Expert,34,Gemiddeld,Goed,Goed,Goed
Technical sales engineer,Jelle Jacobi-de Grunt,F,Indiaas,Gemiddeld,Samenwonend,Midden,HBO,Islamitisch,Gehuwd,Zelfstandig,Appartement,Beginner,76,Gemiddeld,Slecht,Gemiddeld,Slecht
Agricultural engineer,Bas Kallen,M,Nederlands,Laag,Samenwonend met kinderen,Links,WO,Joods,Gehuwd,Parttime,Vrijstaand,Intermediate,31,Gemiddeld,Slecht,Goed,Slecht
Insurance risk surveyor,Ivy van der Linden,M,Bulgaars,Laag,Samenwonend met kinderen,Midden,WO,Islamitisch,Gehuwd,Zelfstandig,Rijtjeshuis,Expert,99,Gemiddeld,Gemiddeld,Slecht,Slecht
English as a foreign language teacher,Selina van der Veiver,M,Irakees,Laag,Samenwonend,Rechts,HBO,Boeddhistisch,Ongehuwd,Fulltime,Appartement,Beginner,75,Hoog,Slecht,Slecht,Gemiddeld
Probation officer,Luuk van den Berg,M,Afghaans,Gemiddeld,Samenwonend,Links,WO,Christelijk,Ongehuwd,Fulltime,Rijtjeshuis,Advanced,56,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Conference centre manager,Ian Sanders,M,Nederlands,Hoog,Samenwonend met kinderen,Links,VMBO,Islamitisch,Ongehuwd,Fulltime,Appartement,Intermediate,40,Laag,Gemiddeld,Gemiddeld,Goed
"Buyer, industrial",Louise van Rooij,M,Somalisch,Laag,Samenwonend met kinderen,Rechts,WO,Anders,Gehuwd,Student,Appartement,Advanced,76,Laag,Goed,Goed,Gemiddeld
Archivist,Sarah Wolzak,F,Indiaas,Gemiddeld,Alleenstaand,Rechts,WO,Hindoeïstisch,Ongehuwd,Fulltime,Rijtjeshuis,Intermediate,98,Gemiddeld,Goed,Gemiddeld,Goed
"Scientist, forensic",Philip Latier,F,Marokkaans,Gemiddeld,Alleenstaand met kinderen,Links,HBO,Islamitisch,Ongehuwd,Student,Appartement,Beginner,73,Gemiddeld,Gemiddeld,Goed,Gemiddeld
General practice doctor,Ella Welf,F,Indiaas,Gemiddeld,Alleenstaand met kinderen,Rechts,HBO,Joods,Ongehuwd,Fulltime,Rijtjeshuis,Expert,61,Laag,Goed,Gemiddeld,Slecht
"Copywriter, advertising",Robin Chrodtrud-van Lucel,F,Turks,Laag,Samenwonend met kinderen,Rechts,HAVO,Atheïstisch,Ongehuwd,Student,Studio,Advanced,50,Hoog,Gemiddeld,Gemiddeld,Gemiddeld
Midwife,Josephine d' Heripon,F,Indiaas,Laag,Alleenstaand,Rechts,MBO,Hindoeïstisch,Ongehuwd,Parttime,Studio,Advanced,98,Laag,Gemiddeld,Gemiddeld,Gemiddeld
"Teacher, special educational needs",Thijmen Scholten,M,Afghaans,Gemiddeld,Samenwonend met kinderen,Rechts,HBO,Christelijk,Ongehuwd,Student,Appartement,Intermediate,86,Laag,Goed,Slecht,Gemiddeld
Corporate treasurer,Timo Kleybrink,F,Nederlands,Laag,Samenwonend met kinderen,Midden,MBO,Boeddhistisch,Gehuwd,Fulltime,Rijtjeshuis,Digibeet,88,Laag,Gemiddeld,Slecht,Gemiddeld
