job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Multimedia programmer,Mohamed Loreal,M,Chinees,Laag,Samenwonend met kinderen,Midden,VMBO,Islamitisch,Ongehuwd,Zelfstandig,Rijtjeshuis,Advanced,58,Laag,Slecht,Slecht,Goed
"Accountant, chartered certified",Lize Schilt,F,Duits,Laag,Samenwonend,Links,VMBO,Hindoeïstisch,Gescheiden,Parttime,Studio,Expert,97,Laag,Gemiddeld,Slecht,Gemiddeld
Lobbyist,Linn Heerkens,F,Nederlands,Gemiddeld,Samenwonend,Midden,HAVO,Christelijk,Ongehuwd,Parttime,Appartement,Beginner,39,Laag,Slecht,Gemiddeld,Gemiddeld
Community education officer,Naud Vergeer,M,Irakees,Gemiddeld,Samenwonend,Links,MBO,Christelijk,Gehuwd,Student,Rijtjeshuis,Beginner,38,Laag,Gemiddeld,Gemiddeld,Goed
Interior and spatial designer,Joep den Teuling,F,Indiaas,Gemiddeld,Samenwonend,Midden,VMBO,Islamitisch,Gescheiden,Student,Studio,Beginner,53,Gemiddeld,Gemiddeld,Goed,Gemiddeld
"Engineer, maintenance (IT)",Faas van Bentheim,F,Nederlands,Gemiddeld,Alleenstaand met kinderen,Links,MBO,Christelijk,Weduwe/Weduwnaar,Gepensioneerd,Appartement,Advanced,58,Laag,Goed,Gemiddeld,Goed
Management consultant,Ravi Meijer,F,Pools,Gemiddeld,Samenwonend met kinderen,Rechts,MBO,Islamitisch,Ongehuwd,Fulltime,Appartement,Intermediate,66,Laag,Gemiddeld,Gemiddeld,Slecht
Arts development officer,Beau Brumleve-van Gelder,M,Marokkaans,Gemiddeld,Alleenstaand,Rechts,HBO,Christelijk,Gehuwd,Fulltime,Twee-onder-een-kap,Advanced,45,Laag,Gemiddeld,Gemiddeld,Goed
"Librarian, academic",Tijs Nedermeijer-van den Nuwenhuijzen,F,Surinaams,Laag,Alleenstaand,Links,VMBO,Islamitisch,Gehuwd,Werkloos,Vrijstaand,Expert,18,Laag,Goed,Gemiddeld,Goed
Stage manager,Sophie Lips,M,Nederlands,Hoog,Alleenstaand met kinderen,Rechts,HBO,Atheïstisch,Ongehuwd,Student,Rijtjeshuis,Beginner,67,Gemiddeld,Gemiddeld,Gemiddeld,Gemiddeld
Therapeutic radiographer,Abel Karels,M,Eritrees,Laag,Samenwonend met kinderen,Rechts,HAVO,Christelijk,Gehuwd,Parttime,Appartement,Intermediate,80,Laag,Gemiddeld,Gemiddeld,Gemiddeld
"Production assistant, radio",Joy Waardeloo,F,Nederlands,Gemiddeld,Alleenstaand,Links,HBO,Joods,Ongehuwd,Fulltime,Appartement,Advanced,34,Laag,Gemiddeld,Gemiddeld,Goed
"Surveyor, commercial/residential",Rick Leguit-de Graaf,F,Indiaas,Laag,Alleenstaand,Rechts,MBO,Christelijk,Gehuwd,Fulltime,Appartement,Advanced,39,Laag,Gemiddeld,Gemiddeld,Goed
