job,name,sex,country_of_origin,socio_economic_status,household_composition,political_orientation,education_level,religion,marital_status,employment_status,housing_type,technology_proficiency,age,Income,Health,Social_Interaction,Dutch_reading_and_writing_skills
Research scientist (medical),Loes Woutersz,F,Marokkaans,Laag,Alleenstaand,Links,Basisonderwijs,Christelijk,Ongehuwd,Fulltime,Appartement,Intermediate,26,Gemiddeld,Slecht,Gemiddeld,Gemiddeld
"Scientist, research (maths)",Jonas de Jager,M,Antilliaans,Hoog,Samenwonend,Midden,MBO,Christelijk,Gehuwd,Gepensioneerd,Woonboot,Advanced,26,Hoog,Goed,Gemiddeld,Gemiddeld
Meteorologist,Yusuf van Wickerode,M,Nederlands,Gemiddeld,Samenwonend,Rechts,HAVO,Atheïstisch,Ongehuwd,Zelfstandig,Appartement,Beginner,73,Gemiddeld,Gemiddeld,Goed,Gemiddeld
Records manager,Maya van der Steen-Bouwhuisen,F,Turks,Hoog,Samenwonend,Midden,VMBO,Christelijk,Weduwe/Weduwnaar,Gepensioneerd,Rijtjeshuis,Intermediate,29,Hoog,Goed,Slecht,Gemiddeld
"Accountant, chartered certified",Jayda Michielsen-Ooms,M,Surinaams,Gemiddeld,Alleenstaand,Links,VWO,Christelijk,Weduwe/Weduwnaar,Fulltime,Rijtjeshuis,Intermediate,41,Hoog,Slecht,Gemiddeld,Goed
Legal executive,Sam Oda,M,Portugees,Gemiddeld,Samenwonend met kinderen,Midden,HBO,Joods,Ongehuwd,Fulltime,Rijtjeshuis,Expert,36,Laag,Gemiddeld,Gemiddeld,Gemiddeld
Social researcher,Pippa van Rossum-Kleybrink,F,Surinaams,Laag,Samenwonend,Links,MBO,Islamitisch,Gehuwd,Zelfstandig,Appartement,Digibeet,62,Laag,Slecht,Gemiddeld,Gemiddeld
"Psychotherapist, dance movement",Naud van den Brand,F,Surinaams,Laag,Samenwonend,Links,VWO,Atheïstisch,Ongehuwd,Fulltime,Appartement,Digibeet,18,Laag,Gemiddeld,Goed,Gemiddeld
Quantity surveyor,Kyan Boer,M,Nederlands,Laag,Samenwonend,Links,HAVO,Boeddhistisch,Gehuwd,Fulltime,Vrijstaand,Advanced,20,Laag,Goed,Goed,Goed
Geographical information systems officer,Mees Gruijl,M,Marokkaans,Laag,Samenwonend met kinderen,Links,HAVO,Islamitisch,Ongehuwd,Fulltime,Vrijstaand,Intermediate,78,Laag,Slecht,Goed,Gemiddeld
"Psychologist, prison and probation services",Bjorn van der Laarse,F,Nederlands,Laag,Samenwonend met kinderen,Links,MBO,Anders,Gehuwd,Fulltime,Rijtjeshuis,Beginner,81,Laag,Gemiddeld,Gemiddeld,Gemiddeld
